index,statement,consensus,confidence,num_samples
614,scenery,0,1.0,11
615,the a glove and the mirage,0,1.0,11
616,the theatre for gods sake,0,1.0,11
617,out of salads,0,1.0,11
618,i was delicious,1,1.0,11
619,final word this show,0,1.0,11
620,a really nice elegant and the service huge design,1,1.0,11
621,awesome,1,1.0,11
622,i am very impressed with strip steak,1,1.0,11
623,there and were excruciatingly slow moving,0,1.0,11
624,to connect any miniusb device to my pc,0,1.0,11
625,is a smoke break while,0,1.0,11
626,looking practical setup with ample storage in place,0,1.0,11
627,the bill to save it holds charge,0,1.0,11
628,boyfriend and i sat at the bar and had a great experience,1,1.0,11
629,excellent bargain,1,1.0,11
630,only to give them a try you will hear part of your time let alone vegas,0,1.0,11
631,protector,0,1.0,11
632,other than that the president of the theatre for a movie faster,0,1.0,11
633,portions and stuffed and so disappointed with the cases,1,1.0,11
634,couples small family groups etc,0,1.0,11
635,took back my money out the earphone and talk on the shelves of the main players are mesmerising,0,1.0,11
636,described,0,1.0,11
637,definitely recommend for any of magnificent photographycinematography in this crap,1,1.0,11
638,is broken and the sliced brisket and very important contacts in thick and downs of the essence of weak,0,1.0,11
639,sucked most annoying and food,1,1.0,11
640,use with my kindle fire and absolutely loved it,1,1.0,11
641,love and hearts and efficient,0,1.0,11
642,so i am disappointed i wont be back here because it is a convenient location,1,1.0,11
643,she is still lacking in quantity or flavor,1,1.0,11
644,i havent had the food or physical outlets,0,1.0,11
645,a few weeks but i wont try going back there even if its empty,1,1.0,11
646,this place and like it picked up,0,1.0,11
647,agree with jessica this movie is pretty bad,1,1.0,11
648,is the weak material but she made,0,1.0,11
649,homemade hand made pastas and thin and moist chicken on the widmark character turns unintentionally comical,1,0.5454545454545454,11
650,happen characters werent cold or asia,0,1.0,11
651,the acting is blah,1,1.0,11
652,the bathrooms at this location were dirty seat covers were not replenished just plain yucky,1,1.0,11
653,i checked out this place,0,1.0,11
654,to question your own threshold of loneliness,0,1.0,11
655,buds only very quick and the time was outstanding little slow at a madhouse,1,1.0,11
656,an exercise in conclusion very disappointing,1,1.0,11
657,sucked most of the stuff does not work with my motorola q smartphone,1,1.0,11
658,very good quality,1,1.0,11
659,falafels and baba ganoush its amazing what they do with eggplant,1,1.0,11
660,hackneyed writing certainly but made even worse than this one if you enjoy visual arts,1,1.0,11
661,was very tasty to me,1,1.0,11
662,either,0,1.0,11
663,film is well paced understated and one of the best bars with food in vegas,1,1.0,11
664,and clear,0,1.0,11
665,backdrop,0,1.0,11
666,mercy killing,0,1.0,11
667,ever go back and have told many people what had happened,0,1.0,11
668,will get again for whatever my next phone is,1,1.0,11
669,and severe echo for those on the other end of the call,0,0.9090909090909091,11
670,case,0,1.0,11
671,garbage,1,1.0,11
672,if only ripped banana was voted best cheese real disappointment,0,1.0,11
673,become their particular character delivering a convincing script,0,1.0,11
674,its not that great,1,1.0,11
675,it should and more,0,0.9090909090909091,11
676,avoid any miniusb device is all means,1,1.0,11
677,all ha long bay was a bit of a flop,1,1.0,11
678,to dylan t for the recommendation on what to order all yummy for my tummy,1,1.0,11
679,take her clothes off,0,1.0,11
680,shrimp when i unwrapped it i live only a mile from brushfire it was literally ice cold,1,1.0,11
681,right,0,1.0,11
682,and i didnt like or predictably and i despised it does not as a huge design is trash,1,1.0,11
683,in soon again,0,1.0,11
684,love but other than a largely disappointing,0,1.0,11
685,company is,0,1.0,11
686,corded headsets and the freedom from the wireless is very helpful,1,1.0,11
687,bother me talk to go now holds the sound volume switch times,0,1.0,11
688,make your experience a good one,0,1.0,11
689,to find it wasnt until i watched this film i started this review with two stars but im editing it to anyone,1,1.0,11
690,a lot of florida at its best made it look very appealing,1,1.0,11
691,is doughy and flavorless,1,1.0,11
692,is awful,1,1.0,11
693,the car ride so much smoother,1,1.0,11
694,say is genuine,0,1.0,11
695,in the spot,0,1.0,11
696,ever,0,1.0,11
697,started having problems in my salsa,0,1.0,11
698,just to get some relief,0,1.0,11
699,this particular model would not work with my phone,1,1.0,11
700,to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways,1,1.0,11
701,this premise sound,0,1.0,11
702,its austere backdrop,0,1.0,11
703,greeted and seated right away,1,0.6363636363636364,11
704,i struggle to wave you over for minutes with no heat,0,1.0,11
705,everyone who gets extremely slow in the amazon for gyros,0,1.0,11
706,cents upandcoming,0,1.0,11
707,right on time and our server from the get go was fantastic,1,1.0,11
708,the competitors,0,1.0,11
709,new there were the battery chargelife is very good looking as many words to go here,1,0.9090909090909091,11
710,year,0,1.0,11
711,liked the khao soi is infuriating,1,1.0,11
712,and effective its that simple,1,1.0,11
713,breaking despite much care on my friends burger was cold,1,1.0,11
714,ultracheap look to it,1,1.0,11
715,ironside,0,1.0,11
716,chicken caesar salad had any virtue in the food and healthy authentic or the last long bay area,0,1.0,11
717,them zero taste that you see this film still not fit better but tiny toons kept the burger and those who can come from,0,1.0,11
718,plantronincs continues to use the same flawed charger design,1,1.0,11
719,these foods i have ever tasted,0,1.0,11
720,out and crusty and the food was awful,1,1.0,11
721,beer drink selection and good food selection,1,1.0,11
722,of options to choose from,0,1.0,11
723,it you should probably just leave it on the shelf,0,1.0,11
724,sturdiness of this phone,0,1.0,11
725,antena,0,1.0,11
726,item,0,1.0,11
727,is terribly boring in places,1,1.0,11
728,tried the mediterranean chicken salad and fell in love,1,1.0,11
729,of the unit to a destination unknown,0,1.0,11
730,europe or asia,0,1.0,11
731,tried to plug it in,0,1.0,11
732,and it tasted very bland,1,1.0,11
733,times very bad customer service,1,1.0,11
734,of promise but fails to deliver,1,1.0,11
735,famous for your typical bar food,0,1.0,11
736,anthony quinn playing crazy horse,0,1.0,11
737,excellent dualpurpose headset works for lack of junk i would crack with my requirements so far and so much rather eat their service,1,1.0,11
738,treated equally special,0,1.0,11
739,ive bought wired headphones that sound better than these,1,1.0,11
740,them except cole who was totally unbelievable in the part,1,1.0,11
741,bad,1,1.0,11
742,who has no real torture,0,1.0,11
743,hang together at all and the acting is absolutely appalling,1,1.0,11
744,thing was there was no speakerphone,1,1.0,11
745,to come out at one point,0,1.0,11
746,antithesis of all that is good about human traffic,1,1.0,11
747,and all the food they offered was bland,1,1.0,11
748,my step going over when its so slow moving,0,1.0,11
749,as much as cheap quality black olives,0,1.0,11
750,lovely duo of violinists playing songs we requested,1,1.0,11
751,new nokia phone which is to say about this product it fails,1,1.0,11
752,dirty fish market and a sewer,1,1.0,11
753,and photography,0,1.0,11
754,noncustomer service focused new management,1,1.0,11
755,a small family restaurant feel to it,1,1.0,11
756,greatespecially if you enjoy visual arts,1,1.0,11
757,its still sore,0,1.0,11
758,one coming,0,1.0,11
759,the bathrooms at this place hits the spot when i unwrapped it i despised it,1,1.0,11
760,mac salad and fell in love,0,1.0,11
761,upstairs and no coverage in my cell phone right away,0,1.0,11
762,to line up right to get decent volume,0,1.0,11
763,in my mom and their clarity and that movie today and i found a brilliant as described,0,1.0,11
764,even brought the food is very difficult to put onid recommend avoiding this product it fails,1,1.0,11
765,ant is easy to use with lg vx env,1,1.0,11
766,i caught them on an off night but it wasnt always easy to watch,1,1.0,11
767,drive all not much,0,1.0,11
768,found the stars,0,1.0,11
769,there is nothing authentic about this place but it does everything pretty well,1,1.0,11
770,sandwiches and everything ive tried gets my seal of approval,1,1.0,11
771,phone works well,1,1.0,11
772,i even dropped this phone into a stream and it was submerged for seconds and it still works great,1,1.0,11
773,breaking despite much care on my oyvey scale,1,1.0,11
774,food was great and so was the biscuit,1,1.0,11
775,away when i want my damn pho,0,1.0,11
776,and the battery drops a bar,0,1.0,11
777,place to come back to every once in a while,1,1.0,11
778,i didnt work with the sort of the breakage is just check on my appointments and management is slim and uplifting,0,1.0,11
779,even that company was the roast beef were dirty seat covers were welldone,1,1.0,11
780,unless im not using it correctly which i dont think is the case,0,0.8181818181818182,11
781,back to this seller,0,1.0,11
782,for them going out of my pants or back pockets instead,0,1.0,11
783,what it says it is,1,1.0,11
784,to bring us the check when we asked for the bill to leave without eating and they didnt look too appealing,1,1.0,11
785,mystifying,0,1.0,11
786,of town this place is good,1,1.0,11
787,were goldencrispy and delicious,1,1.0,11
788,salad with the top but not hear me vomit,0,1.0,11
789,smooth while driving up,1,0.9090909090909091,11
790,expect,0,1.0,11
791,characterage appropriate,0,1.0,11
792,the computer while it is on my lap,0,1.0,11
793,wondered how retarded the crust is on an excellent story solid,0,1.0,11
794,and tasty,1,1.0,11
795,and i cant wait until the next,0,1.0,11
796,was definitely not filling at all and for the price you cannot beat it,0,0.5454545454545454,11
797,movie and disliked it as much,0,1.0,11
798,delicious our waiter wasnt too small,1,1.0,11
799,finally works well,1,1.0,11
800,very weak,1,1.0,11
801,hasnt missed a step going from silent to sound,1,1.0,11
802,waitress was good,1,1.0,11
803,this was a pale color instead of nice and the lion we see a wonderful story,0,1.0,11
804,this purchase,0,1.0,11
805,headset right,0,1.0,11
806,was there was no speakerphone,1,0.6363636363636364,11
807,do it,0,1.0,11
808,businesses its actually rare for me to give a star,1,1.0,11
809,was definitely not filling at all and for the price you pay you should expect more,1,1.0,11
810,the crowd is just fails on blacktop without eating and seem to go back,0,1.0,11
811,find wasting food to be despicable but this just wasnt food,1,1.0,11
812,nice texture and taste,1,1.0,11
813,repeating her and a year and emilio contains the ringer is nice shine and its too politically correct,0,1.0,11
814,actor playing the villain was a low budget as you clearly can see,1,1.0,11
815,with a lilt in my ear well and is obviously very comfortable in front of a better consumer experience from motorola,0,1.0,11
816,big deal is about this place but i wont be back yaall,1,1.0,11
817,in my auto reverse tape player,0,1.0,11
818,sharp the blue is a very nice color,1,1.0,11
819,is hard to find it wasnt high priced,1,0.7272727272727273,11
820,trying to anne rices style sensitivities and of the original that bethe audio quality motorola and this was ever had it,0,1.0,11
821,beat that,0,1.0,11
822,on to my belt and keeping the iphone inside,0,1.0,11
823,bad service but the food sucks,1,1.0,11
824,really is until the next,0,1.0,11
825,are very very attentive providing excellent restaurant,1,1.0,11
826,not a trashy cult movie this is trash period,1,1.0,11
827,meh,1,1.0,11
828,were dirty fish is excrutiatingly slow,1,1.0,11
829,from north scottsdale and had this was the ambience made and the chicken pho,0,1.0,11
830,food,0,1.0,11
831,decide,0,1.0,11
832,carries the movie well,1,1.0,11
833,and one of the headsets are easy to use one headset for a special treat,0,1.0,11
834,opinion,0,1.0,11
835,we realized that it really looks rather bland especially in the neighborhood so i am going to have to hold on to,0,1.0,11
836,when im not wearing it,0,1.0,11
837,will hear part of your conversation,0,1.0,11
838,tips are really great menu suggestions,1,1.0,11
839,i love being able to use and i want something healthy but not a quality restaurant,0,1.0,11
840,a lot,0,1.0,11
841,and service,0,1.0,11
842,waste,0,1.0,11
843,was not impressed and would not go back,1,1.0,11
844,similarly the delivery man did not say a word of apology when our food was minutes late,1,1.0,11
845,a sculpture,0,1.0,11
846,actor playing the villain was a low rent michael ironside,1,1.0,11
847,timeless the film actually is,0,0.9090909090909091,11
848,writing and here they come in thick and fast,0,1.0,11
849,bad guys,0,1.0,11
850,see how this movie can be an inspiration to anyone to come out or overcome fear and rejection,1,1.0,11
851,havent had any problem with the verizon customer service,1,1.0,11
852,on the market,0,1.0,11
853,im surprised this is a great restaurant at the mandalay bay,1,1.0,11
854,past and marriage,0,1.0,11
855,low price i highly recommend this gifted actor,1,1.0,11
856,happened was that it wasnt high priced,0,1.0,11
857,expected a better consumer experience from motorola,1,1.0,11
858,has always been great,1,1.0,11
859,i really wanted the plantronics to be the right one but it has too many issues for methe good,1,1.0,11
860,is there,0,1.0,11
861,far the best cheesecurds we have ever had,1,1.0,11
862,mains also great taste that were possible,0,1.0,11
863,about was their guacamole as i dont like it pured,1,1.0,11
864,boogeyman and zombiez as part of the hellish trinity of horror films,0,1.0,11
865,politically correct,0,1.0,11
866,m was better,1,0.7272727272727273,11
867,good,1,1.0,11
868,bad idea we see how dirty,0,1.0,11
869,even allowing for poor production values for the time and it was submerged for seconds and it still works great,1,1.0,11
870,are starving,0,1.0,11
871,but ive never seen her in a movie this lousy,1,1.0,11
872,inconspicuous to finish it so stale,0,1.0,11
873,turned up to be hosting his voiceovers were monotonous didnt get involved with the character he played,1,1.0,11
874,with my phone,0,1.0,11
875,this one authentic thai food was outshining i think it,1,1.0,11
876,we were sat right on time and i could replace my well travled swivel holster for my lc and its famed gaudi towers,0,1.0,11
877,iam very pleased with the job done,1,1.0,11
878,it a try but was deeply impressed with this donut place,1,1.0,11
879,bars ever,0,1.0,11
880,the color is even prettier than i thought this is probably the worst phone ever,1,1.0,11
881,sunglasses on the good guys and especially the bad guys,0,1.0,11
882,punishment park is one edinburgh establishment again,0,1.0,11
883,poetry theater politics or japanese history,0,1.0,11
884,be ergonomic in theory but i could give this film are tremendously well played,1,1.0,11
885,logitech earbud piece of management,0,1.0,11
886,those with a huge belly and hankering for sushi,0,1.0,11
887,end of magnificent photographycinematography in the ear loops are fabulous,1,1.0,11
888,this is not very comfortable at all to recommend,1,1.0,11
889,we must have hit the bakery on leftover day because everything we ordered was stale,1,1.0,11
890,because everything we ordered was stale,1,1.0,11
891,but made me into seeing just if needed,0,1.0,11
892,for comfort clarity and ease of use,0,1.0,11
893,but i bought two days and waterproof,0,1.0,11
894,listening to music with the cingular,0,1.0,11
